key,n,side_length,K_true,Kmax,k_hat
n6_L10,6,10,64,12,2
n6_L9,6,9,64,12,4
n6_L8,6,8,64,12,2
n6_L7,6,7,64,12,2
n6_L6,6,6,64,12,2
n6_L5,6,5,64,12,2
n6_L4,6,4,64,12,1
n6_L3,6,3,64,12,1
n6_L2,6,2,64,12,1
n6_L1,6,1,64,12,1
n5_L10,5,10,32,12,12
n5_L9,5,9,32,12,12
n5_L8,5,8,32,12,8
n5_L7,5,7,32,12,2
n5_L6,5,6,32,12,2
n5_L5,5,5,32,12,1
n5_L4,5,4,32,12,1
n5_L3,5,3,32,12,1
n5_L2,5,2,32,12,1
n5_L1,5,1,32,12,1
n4_L10,4,10,16,12,12
n4_L9,4,9,16,12,12
n4_L8,4,8,16,12,12
n4_L7,4,7,16,12,12
n4_L6,4,6,16,12,2
n4_L5,4,5,16,12,1
n4_L4,4,4,16,12,2
n4_L3,4,3,16,12,1
n4_L2,4,2,16,12,1
n4_L1,4,1,16,12,1
n3_L10,3,10,8,11,8
n3_L9,3,9,8,11,8
n3_L8,3,8,8,11,8
n3_L7,3,7,8,11,8
n3_L6,3,6,8,11,8
n3_L5,3,5,8,11,8
n3_L4,3,4,8,11,1
n3_L3,3,3,8,11,1
n3_L2,3,2,8,11,1
n3_L1,3,1,8,11,1
n2_L10,2,10,4,7,4
n2_L9,2,9,4,7,4
n2_L8,2,8,4,7,4
n2_L7,2,7,4,7,4
n2_L6,2,6,4,7,4
n2_L5,2,5,4,7,4
n2_L4,2,4,4,7,4
n2_L3,2,3,4,7,1
n2_L2,2,2,4,7,1
n2_L1,2,1,4,7,1
