key,max_radius,K_true,Kmax,m_embed,selector,d_threshold,k_hat,underestimate
R10,10,4,4,4,tib,1,1,1
R9_5,9.5,4,4,4,tib,1,1,1
R9,9,4,4,4,tib,1,1,1
R8_5,8.5,4,4,4,tib,1,1,1
R8,8,4,4,4,tib,1,1,1
R7_5,7.5,4,4,4,tib,1,1,1
R7,7,4,4,4,tib,1,1,1
R6_5,6.5,4,4,4,tib,1,1,1
R6,6,4,4,4,tib,1,1,1
R5_5,5.5,4,4,4,tib,1,1,1
R5,5,4,4,4,tib,1,1,1
R4_5,4.5,4,4,4,tib,1,1,1
R4,4,4,4,4,tib,1,1,1
R3_5,3.5,4,4,4,tib,1,1,1
R3,3,4,4,4,tib,1,1,1
R2_5,2.5,4,4,4,tib,1,1,1
R2,2,4,4,4,tib,1,1,1
R1_5,1.5,4,4,4,tib,1,1,1
R1,1,4,4,4,tib,1,1,1
R0_5,0.5,4,4,4,tib,1,1,1
R0,0,4,4,4,tib,1,1,1
